Trajectories
100
		JuanDR:RASI			JuanDR:SACR			JuanDR:LASI			JuanDR:RHEE			JuanDR:RTOE			JuanDR:RANK			JuanDR:RMED			JuanDR:LHEE			JuanDR:LTOE			JuanDR:LANK			JuanDR:LMED			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
36	0	-120.370285	-126.843590	866.220459	-316.892883	11.562907	862.411560	-118.086121	131.783554	866.853088	-276.668243	-110.692123	21.733456	-106.125847	-147.397675	27.573292	-232.762024	-151.853348	48.571983	-192.990479	-71.621422	66.055504	-299.137177	89.063133	20.427858	-128.053558	139.804993	29.744585	-250.871628	133.897415	50.127426	-214.848816	52.826626	56.559105
37	0	-120.368637	-126.837387	866.221863	-316.894379	11.565725	862.410583	-118.089462	131.787979	866.855469	-276.668671	-110.693039	21.733967	-106.125427	-147.397354	27.573145	-232.761795	-151.853668	48.572556	-192.990051	-71.622772	66.054436	-299.138245	89.062950	20.429321	-128.053680	139.804367	29.744230	-250.872314	133.897049	50.127193	-214.849304	52.826595	56.559593
38	0	-120.367393	-126.831177	866.223083	-316.896179	11.568521	862.409729	-118.093086	131.792358	866.857788	-276.669098	-110.693954	21.734453	-106.125038	-147.397049	27.573006	-232.761612	-151.853943	48.573109	-192.989655	-71.624107	66.053360	-299.139374	89.062798	20.430729	-128.053818	139.803741	29.743889	-250.873093	133.896713	50.126965	-214.849854	52.826576	56.560081
39	0	-120.366554	-126.824959	866.224487	-316.898254	11.571293	862.408691	-118.097023	131.796692	866.860107	-276.669464	-110.694878	21.734915	-106.124664	-147.396729	27.572878	-232.761429	-151.854263	48.573654	-192.989243	-71.625443	66.052307	-299.140503	89.062630	20.432083	-128.053955	139.803131	29.743565	-250.873871	133.896378	50.126747	-214.850433	52.826569	56.560566
40	0	-120.366119	-126.818733	866.225708	-316.900665	11.574042	862.407654	-118.101250	131.800964	866.862488	-276.669891	-110.695801	21.735352	-106.124298	-147.396439	27.572754	-232.761261	-151.854553	48.574184	-192.988907	-71.626770	66.051277	-299.141602	89.062492	20.433382	-128.054077	139.802536	29.743259	-250.874725	133.896088	50.126530	-214.851044	52.826569	56.561050
41	0	-120.366089	-126.812485	866.226990	-316.903351	11.576768	862.406555	-118.105759	131.805191	866.864807	-276.670349	-110.696716	21.735760	-106.123947	-147.396149	27.572643	-232.761078	-151.854858	48.574699	-192.988541	-71.628082	66.050255	-299.142731	89.062347	20.434628	-128.054245	139.801941	29.742970	-250.875687	133.895782	50.126316	-214.851669	52.826576	56.561531
42	0	-120.366470	-126.806244	866.228149	-316.906403	11.579472	862.405334	-118.110573	131.809402	866.867126	-276.670746	-110.697647	21.736143	-106.123604	-147.395844	27.572540	-232.760956	-151.855148	48.575203	-192.988251	-71.629387	66.049240	-299.143829	89.062218	20.435820	-128.054428	139.801346	29.742695	-250.876633	133.895523	50.126114	-214.852325	52.826599	56.562008
43	0	-120.367241	-126.800003	866.229431	-316.909698	11.582151	862.404236	-118.115685	131.813538	866.869507	-276.671234	-110.698578	21.736500	-106.123283	-147.395569	27.572443	-232.760834	-151.855453	48.575695	-192.987946	-71.630684	66.048241	-299.144928	89.062103	20.436956	-128.054611	139.800781	29.742439	-250.877701	133.895248	50.125912	-214.853012	52.826630	56.562481
44	0	-120.368439	-126.793724	866.230530	-316.913300	11.584807	862.402954	-118.121086	131.817657	866.871826	-276.671661	-110.699516	21.736826	-106.122971	-147.395264	27.572357	-232.760712	-151.855759	48.576172	-192.987686	-71.631973	66.047256	-299.145966	89.061981	20.438040	-128.054794	139.800217	29.742199	-250.878815	133.895004	50.125710	-214.853745	52.826668	56.562954
45	0	-120.370026	-126.787453	866.231750	-316.917236	11.587440	862.401733	-118.126778	131.821701	866.874084	-276.672089	-110.700455	21.737133	-106.122673	-147.395004	27.572279	-232.760590	-151.856049	48.576637	-192.987442	-71.633255	66.046288	-299.147064	89.061890	20.439070	-128.055023	139.799652	29.741972	-250.879944	133.894791	50.125519	-214.854523	52.826721	56.563423
46	0	-120.372017	-126.781166	866.232788	-316.921509	11.590050	862.400330	-118.132767	131.825714	866.876465	-276.672546	-110.701401	21.737408	-106.122391	-147.394714	27.572208	-232.760513	-151.856354	48.577087	-192.987213	-71.634537	66.045326	-299.148132	89.061790	20.440044	-128.055252	139.799118	29.741766	-250.881165	133.894562	50.125332	-214.855316	52.826782	56.563889
47	0	-120.374428	-126.774895	866.234009	-316.926025	11.592636	862.399048	-118.139053	131.829697	866.878784	-276.673004	-110.702347	21.737661	-106.122124	-147.394455	27.572149	-232.760437	-151.856644	48.577530	-192.987030	-71.635803	66.044388	-299.149200	89.061699	20.440964	-128.055466	139.798584	29.741573	-250.882446	133.894363	50.125149	-214.856140	52.826851	56.564354
48	0	-120.377235	-126.768585	866.235046	-316.930847	11.595198	862.397583	-118.145630	131.833618	866.881104	-276.673462	-110.703300	21.737883	-106.121864	-147.394180	27.572098	-232.760391	-151.856964	48.577953	-192.986862	-71.637062	66.043457	-299.150299	89.061623	20.441830	-128.055740	139.798065	29.741402	-250.883789	133.894196	50.124969	-214.857010	52.826935	56.564816
49	0	-120.380447	-126.762268	866.236145	-316.936005	11.597737	862.396179	-118.152496	131.837494	866.883545	-276.673950	-110.704247	21.738085	-106.121628	-147.393921	27.572052	-232.760345	-151.857239	48.578362	-192.986694	-71.638313	66.042534	-299.151337	89.061569	20.442646	-128.055984	139.797531	29.741243	-250.885193	133.894043	50.124794	-214.857895	52.827026	56.565277
50	0	-120.384056	-126.755951	866.237183	-316.941467	11.600254	862.394714	-118.159668	131.841339	866.885864	-276.674377	-110.705200	21.738255	-106.121407	-147.393692	27.572018	-232.760315	-151.857559	48.578766	-192.986572	-71.639565	66.041634	-299.152374	89.061508	20.443403	-128.056259	139.797012	29.741100	-250.886642	133.893875	50.124622	-214.858795	52.827122	56.565731
51	0	-120.388084	-126.749619	866.238098	-316.947266	11.602745	862.393066	-118.167122	131.845123	866.888184	-276.674866	-110.706161	21.738403	-106.121193	-147.393417	27.571991	-232.760300	-151.857834	48.579147	-192.986481	-71.640808	66.040756	-299.153412	89.061462	20.444109	-128.056534	139.796509	29.740978	-250.888168	133.893738	50.124454	-214.859772	52.827240	56.566185
52	0	-120.392502	-126.743286	866.239197	-316.953308	11.605213	862.391602	-118.174881	131.848862	866.890503	-276.675385	-110.707123	21.738520	-106.120987	-147.393188	27.571972	-232.760300	-151.858154	48.579521	-192.986404	-71.642036	66.039879	-299.154449	89.061417	20.444759	-128.056839	139.796036	29.740868	-250.889755	133.893646	50.124294	-214.860748	52.827358	56.566635
53	0	-120.397331	-126.736938	866.240112	-316.959686	11.607659	862.389893	-118.182930	131.852570	866.892883	-276.675842	-110.708076	21.738617	-106.120811	-147.392960	27.571962	-232.760300	-151.858429	48.579880	-192.986343	-71.643257	66.039009	-299.155518	89.061378	20.445358	-128.057159	139.795547	29.740776	-250.891357	133.893539	50.124142	-214.861771	52.827488	56.567089
54	0	-120.402557	-126.730591	866.241089	-316.966370	11.610080	862.388306	-118.191269	131.856201	866.895203	-276.676361	-110.709038	21.738682	-106.120636	-147.392700	27.571962	-232.760330	-151.858749	48.580227	-192.986313	-71.644470	66.038155	-299.156525	89.061356	20.445898	-128.057465	139.795059	29.740702	-250.893051	133.893463	50.123993	-214.862823	52.827629	56.567535
55	0	-120.408203	-126.724228	866.242004	-316.973328	11.612475	862.386597	-118.199913	131.859818	866.897522	-276.676819	-110.710007	21.738726	-106.120491	-147.392487	27.571968	-232.760376	-151.859024	48.580559	-192.986313	-71.645676	66.037331	-299.157562	89.061340	20.446390	-128.057800	139.794601	29.740644	-250.894821	133.893372	50.123848	-214.863892	52.827782	56.567978
56	0	-120.414246	-126.717850	866.242859	-316.980621	11.614850	862.384766	-118.208847	131.863403	866.899841	-276.677338	-110.710983	21.738739	-106.120338	-147.392258	27.571987	-232.760422	-151.859344	48.580879	-192.986328	-71.646873	66.036499	-299.158539	89.061340	20.446823	-128.058151	139.794159	29.740602	-250.896637	133.893326	50.123707	-214.865021	52.827942	56.568417
57	0	-120.420677	-126.711472	866.243774	-316.988190	11.617199	862.382935	-118.218071	131.866898	866.902161	-276.677887	-110.711960	21.738728	-106.120216	-147.392029	27.572012	-232.760468	-151.859619	48.581188	-192.986359	-71.648071	66.035698	-299.159546	89.061340	20.447206	-128.058517	139.793701	29.740578	-250.898483	133.893280	50.123569	-214.866165	52.828114	56.568859
58	0	-120.427536	-126.705093	866.244629	-316.996094	11.619523	862.381165	-118.227592	131.870392	866.904480	-276.678375	-110.712936	21.738693	-106.120102	-147.391830	27.572042	-232.760559	-151.859924	48.581478	-192.986420	-71.649246	66.034897	-299.160583	89.061356	20.447533	-128.058899	139.793243	29.740568	-250.900452	133.893265	50.123436	-214.867340	52.828300	56.569298
59	0	-120.434784	-126.698685	866.245361	-317.004333	11.621823	862.379272	-118.237396	131.873810	866.906799	-276.678925	-110.713921	21.738630	-106.119995	-147.391602	27.572086	-232.760666	-151.860229	48.581760	-192.986496	-71.650429	66.034119	-299.161591	89.061378	20.447805	-128.059265	139.792831	29.740576	-250.902420	133.893250	50.123306	-214.868546	52.828491	56.569729
60	0	-120.442436	-126.692284	866.246216	-317.012848	11.624102	862.377258	-118.247513	131.877197	866.909119	-276.679413	-110.714905	21.738541	-106.119919	-147.391403	27.572134	-232.760773	-151.860519	48.582024	-192.986603	-71.651604	66.033348	-299.162567	89.061417	20.448025	-128.059677	139.792404	29.740601	-250.904465	133.893265	50.123184	-214.869797	52.828697	56.570160
61	0	-120.450493	-126.685875	866.247009	-317.021637	11.626353	862.375305	-118.257912	131.880554	866.911499	-276.679932	-110.715897	21.738424	-106.119843	-147.391220	27.572195	-232.760895	-151.860825	48.582283	-192.986755	-71.652763	66.032593	-299.163544	89.061455	20.448189	-128.060074	139.791977	29.740641	-250.906555	133.893295	50.123070	-214.871063	52.828903	56.570591
62	0	-120.458954	-126.679436	866.247803	-317.030762	11.628581	862.373352	-118.268608	131.883850	866.913818	-276.680511	-110.716881	21.738283	-106.119789	-147.391006	27.572262	-232.761032	-151.861115	48.582520	-192.986908	-71.653908	66.031853	-299.164520	89.061501	20.448303	-128.060501	139.791595	29.740698	-250.908737	133.893326	50.122955	-214.872375	52.829132	56.571018
63	0	-120.467812	-126.673012	866.248474	-317.040161	11.630786	862.371277	-118.279602	131.887100	866.916138	-276.681030	-110.717880	21.738115	-106.119743	-147.390823	27.572338	-232.761169	-151.861420	48.582748	-192.987091	-71.655060	66.031120	-299.165527	89.061562	20.448359	-128.060959	139.791183	29.740770	-250.910965	133.893402	50.122845	-214.873703	52.829357	56.571438
64	0	-120.477074	-126.666557	866.249207	-317.049927	11.632965	862.369202	-118.290886	131.890305	866.918457	-276.681610	-110.718872	21.737925	-106.119705	-147.390656	27.572422	-232.761337	-151.861710	48.582962	-192.987274	-71.656197	66.030403	-299.166504	89.061615	20.448362	-128.061401	139.790802	29.740862	-250.913269	133.893478	50.122746	-214.875076	52.829605	56.571865
65	0	-120.486740	-126.660126	866.249878	-317.059937	11.635119	862.367004	-118.302467	131.893478	866.920837	-276.682129	-110.719864	21.737703	-106.119690	-147.390472	27.572514	-232.761520	-151.862015	48.583164	-192.987518	-71.657333	66.029709	-299.167450	89.061691	20.448315	-128.061844	139.790436	29.740971	-250.915588	133.893570	50.122646	-214.876480	52.829853	56.572285
66	0	-120.496811	-126.653656	866.250488	-317.070282	11.637249	862.364746	-118.314331	131.896606	866.923157	-276.682709	-110.720863	21.737459	-106.119690	-147.390274	27.572615	-232.761703	-151.862289	48.583355	-192.987762	-71.658447	66.029022	-299.168396	89.061783	20.448212	-128.062317	139.790054	29.741091	-250.917999	133.893661	50.122551	-214.877899	52.830120	56.572697
67	0	-120.507278	-126.647186	866.251221	-317.080902	11.639355	862.362549	-118.326508	131.899673	866.925476	-276.683228	-110.721878	21.737188	-106.119698	-147.390106	27.572725	-232.761917	-151.862610	48.583530	-192.988052	-71.659561	66.028351	-299.169403	89.061874	20.448055	-128.062820	139.789703	29.741234	-250.920441	133.893784	50.122463	-214.879379	52.830395	56.573116
